Date,Sleep Start,Sleep End,Total Hours of Sleep,Quality rating,Daily Productivity Rating,Notes
"Wednesday, 29 Mar",1:00:00 AM,8:00:00 AM,7:00:00,4,3,
"Thursday, 30 Mar",2:00:00 AM,8:00:00 AM,6:00:00,3,2,Drank too much caffine so I stayed up late working on HW!
"Friday, 31 Mar",12:00:00 AM,8:00:00 AM,8:00:00,4,4,
"Monday, 3 Apr",1:00:00 AM,8:00:00 AM,7:00:00,4,2,
"Tuesday, 4 Apr",1:00:00 AM,8:00:00 AM,7:00:00,5,4,
"Wednesday, 5 Apr",12:00:00 AM,8:00:00 AM,8:00:00,3,2,
"Thursday, 6 Apr",12:30:00 AM,8:45:00 AM,8:15:00,3,5,Was really anxious not sure why but it labotomized me so I couldn't really do much
"Friday, 7 Apr",11:30:00 PM,8:00:00 AM,8:30:00,4,3,
"Monday, 10 Apr",10:30:00 PM,8:00:00 AM,9:30:00,5,3,
"Tuesday, 11 Apr",11:30:00 PM,8:00:00 AM,8:30:00,4,4,
"Wednesday, 12 Apr",1:30:00 AM,8:50:00 AM,7:20:00,1,3,Was sick
"Thursday, 13 Apr",4:00:00 AM,8:40:00 AM,4:40:00,3,3,Was sick
"Friday, 14 Apr",2:00:00 AM,8:00:00 AM,6:00:00,3,3,Was sick
"Monday, 17 Apr",1:00:00 AM,7:00:00 AM,6:00:00,4,5,
"Tuesday, 18 Apr",12:30:00 AM,7:30:00 AM,7:00:00,5,4,
"Wednesday, 19 Apr",1:30:00 AM,9:00:00 AM,7:30:00,5,5,
